"sede","fecha","cantidad_visitantes","cantidad_combos","gasto_total","propina","tiempo_espera","satisfaccion_cliente","numero_de_mesas_disponibles"
"Polideportivo",2022-07-08,28,2,4000,247,4.4,101.7,22
"Escuela_Universitaria_de_Ingles",2022-07-08,31,4,8000,260,7.3,92.6,17
"Trabajo_Argentino",2022-07-09,33,5,10000,404,7.9,97.3,23
"Malvinas_Argentinas",2022-07-09,5,4,8000,267,6.2,99.1,21
"Marcos_Paz",2022-07-09,41,5,10000,110,8,96.9,27
"Rectorado",2022-07-09,16,3,6000,217,6.1,83.7,10
"Gestion_estudiantil",2022-07-09,47,4,8000,181,9.5,85.6,28
"Biblioteca",2022-07-09,30,4,8000,165,7.1,99.1,23
"Laboratorios",2022-07-09,23,4,8000,211,8.7,98.6,18
"Invernaula",2022-07-09,46,3,6000,153,6.8,99.6,19
"Auditorio",2022-07-09,25,3,6000,183,5.8,99.6,23
"PIA",2022-07-09,35,3,6000,169,4.6,104.7,22
"Playon",2022-07-09,30,2,4000,178,4,93.3,21
"Justicia_Social",2022-07-09,36,4,8000,211,8.5,90.8,25
"Sede_Vergara",2022-07-09,52,5,10000,185,9,87.3,27
"Polideportivo",2022-07-09,15,3,6000,101,6,93.4,23
"Escuela_Universitaria_de_Ingles",2022-07-09,35,4,8000,283,8.5,88.8,10
"Malvinas_Argentinas",2022-07-10,2,2,4000,143,4.5,90.8,30
"Marcos_Paz",2022-07-10,66,5,10000,175,9.6,92.7,27
"Rectorado",2022-07-10,7,5,10000,232,8.8,93,18
"Gestion_estudiantil",2022-07-10,16,5,10000,168,9,93.2,21
"Auditorio",2022-07-10,29,2,4000,275,4.7,93.9,28
"PIA",2022-07-10,46,2,4000,123,3.4,99,26
"Playon",2022-07-10,15,5,10000,300,7.5,96.6,17
"Gratuidad_Universitaria",2022-07-10,2,5,10000,167,9.2,93.5,26
"Justicia_Social",2022-07-10,49,5,10000,245,11.4,90.1,17
"Sede_Vergara",2022-07-10,11,2,4000,194,4.2,100.7,16
"Polideportivo",2022-07-10,2,5,10000,148,9.9,86,10
"Escuela_Universitaria_de_Ingles",2022-07-10,42,5,10000,192,9.6,90,20
"Trabajo_Argentino",2022-07-11,20,6,12000,562,10.5,94.8,15
"Marcos_Paz",2022-07-11,17,2,4000,267,4.4,107.2,12
"Rectorado",2022-07-11,9,4,8000,105,9.3,86.3,11
"Gestion_estudiantil",2022-07-11,8,4,8000,243,9.2,90.3,30
"Biblioteca",2022-07-11,20,3,6000,196,7,97.4,16
"Laboratorios",2022-07-11,8,2,4000,114,3,100.5,23
"Auditorio",2022-07-11,7,4,8000,297,7.3,100.9,30
"PIA",2022-07-11,31,2,4000,232,3.5,100.4,23
"Playon",2022-07-11,3,3,6000,296,6.5,95.8,11
"Justicia_Social",2022-07-11,22,3,6000,202,5,98.5,14
"Sede_Vergara",2022-07-11,31,2,4000,285,4.3,97.9,23
"Polideportivo",2022-07-11,22,5,10000,231,10.9,88.8,28
"Escuela_Universitaria_de_Ingles",2022-07-11,34,3,6000,108,5.3,90.6,25
"Trabajo_Argentino",2022-07-12,28,4,8000,547,8.9,88.8,17
"Malvinas_Argentinas",2022-07-12,5,4,8000,224,7.4,89.4,23
"Marcos_Paz",2022-07-12,31,4,8000,233,9,94.7,17
"Rectorado",2022-07-12,8,2,4000,124,3.8,88.3,12
"Gestion_estudiantil",2022-07-12,21,3,6000,160,6.9,93.2,29
"Biblioteca",2022-07-12,41,2,4000,280,3.5,93.9,19
"Laboratorios",2022-07-12,17,2,4000,149,3.3,92.6,17
"Invernaula",2022-07-12,33,2,4000,157,3.4,96.5,29
"Auditorio",2022-07-12,6,2,4000,230,3.9,92.7,19
"PIA",2022-07-12,31,5,10000,202,11.3,82.1,20
"Playon",2022-07-12,23,2,4000,113,3.8,94.4,24
"Gratuidad_Universitaria",2022-07-12,1,4,8000,200,7.8,96.3,28
"Justicia_Social",2022-07-12,14,4,8000,284,8.8,96.7,29
"Sede_Vergara",2022-07-12,43,2,4000,192,3.8,93.9,22
"Polideportivo",2022-07-12,22,3,6000,161,5.3,97.4,28
"Escuela_Universitaria_de_Ingles",2022-07-12,25,4,8000,156,6.8,100.1,25
"Trabajo_Argentino",2022-07-13,25,5,10000,406,11.7,95.3,21
"Malvinas_Argentinas",2022-07-13,6,3,6000,124,7,94.1,14
"Marcos_Paz",2022-07-13,36,4,8000,177,9.5,90.5,23
"Rectorado",2022-07-13,10,2,4000,109,3.1,96.7,10
"Gestion_estudiantil",2022-07-13,30,4,8000,173,7.5,89.8,13
"Biblioteca",2022-07-13,24,3,6000,171,5.6,100.8,18
"Laboratorios",2022-07-13,15,4,8000,175,9.6,88,23
"Invernaula",2022-07-13,22,4,8000,278,7.6,92.7,22
"Auditorio",2022-07-13,9,4,8000,262,7.7,92.7,28
"PIA",2022-07-13,22,4,8000,263,7.5,92.3,26
"Playon",2022-07-13,18,2,4000,262,4.9,93.9,25
"Gratuidad_Universitaria",2022-07-13,4,4,8000,147,7.2,85.8,27
"Justicia_Social",2022-07-13,11,2,4000,234,3.7,100.2,26
"Sede_Vergara",2022-07-13,42,5,10000,279,12.3,89.9,26
"Polideportivo",2022-07-13,24,5,10000,219,8.5,90.2,24
"Escuela_Universitaria_de_Ingles",2022-07-13,8,2,4000,133,3.3,92.7,19
"Trabajo_Argentino",2022-07-14,22,4,8000,320,8,88.6,13
"Marcos_Paz",2022-07-14,17,2,4000,101,4.2,95.5,18
"Rectorado",2022-07-14,9,2,4000,212,4.9,84.1,27
"Gestion_estudiantil",2022-07-14,36,4,8000,157,7.5,85.1,25
"Biblioteca",2022-07-14,38,5,10000,295,8.7,93.3,22
"Laboratorios",2022-07-14,12,3,6000,138,5,91.9,26
"Invernaula",2022-07-14,29,3,6000,287,7.4,95,18
"Auditorio",2022-07-14,29,3,6000,227,5.6,87.7,24
"PIA",2022-07-14,29,5,10000,111,8.9,91.5,19
"Playon",2022-07-14,19,2,4000,104,3.3,110.4,26
"Gratuidad_Universitaria",2022-07-14,4,4,8000,215,7.9,91.6,23
"Justicia_Social",2022-07-14,9,2,4000,258,4.5,95.7,18
"Sede_Vergara",2022-07-14,33,5,10000,102,10,92.3,13
"Polideportivo",2022-07-14,24,5,10000,290,12,98.5,12
"Escuela_Universitaria_de_Ingles",2022-07-14,10,5,10000,172,7.6,95.3,28
"Trabajo_Argentino",2022-07-15,51,5,10000,351,9.4,93.3,22
"Malvinas_Argentinas",2022-07-15,6,4,8000,110,8.1,91.5,23
"Marcos_Paz",2022-07-15,16,5,10000,228,11.3,89.2,24
"Rectorado",2022-07-15,14,5,10000,207,8.6,79.3,14
"Gestion_estudiantil",2022-07-15,16,4,8000,187,8.6,93.9,26
"Biblioteca",2022-07-15,64,2,4000,273,4.9,96.1,23
"Laboratorios",2022-07-15,29,2,4000,138,3.5,93,26
"Invernaula",2022-07-15,26,2,4000,219,3.8,103.2,14
"Auditorio",2022-07-15,11,3,6000,222,7.3,90.2,26
"PIA",2022-07-15,27,5,10000,178,7.9,88.3,27
"Playon",2022-07-15,23,2,4000,193,3.8,96.2,12
"Gratuidad_Universitaria",2022-07-15,27,5,10000,106,12.1,83.7,25
"Justicia_Social",2022-07-15,23,3,6000,233,6.2,95.3,18
"Sede_Vergara",2022-07-15,66,3,6000,256,5.4,95.3,19
"Polideportivo",2022-07-15,60,3,6000,290,5.4,96.4,13
"Escuela_Universitaria_de_Ingles",2022-07-15,47,5,10000,156,8.9,89.5,15
"Trabajo_Argentino",2022-07-16,28,6,12000,315,10.5,77.5,23
"Malvinas_Argentinas",2022-07-16,1,4,8000,261,7.1,105.3,15
"Marcos_Paz",2022-07-16,32,5,10000,156,11.7,95.2,26
"Rectorado",2022-07-16,16,2,4000,202,3.8,89.8,19
"Gestion_estudiantil",2022-07-16,50,5,10000,249,11.8,92.3,21
"Biblioteca",2022-07-16,7,4,8000,174,7.7,91.9,25
"Laboratorios",2022-07-16,23,2,4000,150,3.5,96.3,16
"Auditorio",2022-07-16,56,2,4000,132,4.9,92.9,26
"PIA",2022-07-16,39,3,6000,175,6,89.6,23
"Playon",2022-07-16,32,2,4000,220,4.8,91.4,11
"Gratuidad_Universitaria",2022-07-16,4,5,10000,289,7.8,98.4,14
"Justicia_Social",2022-07-16,13,2,4000,167,3.4,103,12
"Sede_Vergara",2022-07-16,42,5,10000,255,9.5,91.6,10
"Polideportivo",2022-07-16,29,3,6000,201,5,90.8,23
"Escuela_Universitaria_de_Ingles",2022-07-16,22,5,10000,109,8.7,102.8,20
"Malvinas_Argentinas",2022-07-17,3,4,8000,277,9.2,82.3,18
"Marcos_Paz",2022-07-17,47,5,10000,228,10.6,98.4,16
"Rectorado",2022-07-17,17,5,10000,148,10.6,95.2,20
"Gestion_estudiantil",2022-07-17,44,2,4000,273,4.3,97.2,11
"Auditorio",2022-07-17,23,4,8000,178,7.1,89.6,11
"PIA",2022-07-17,31,3,6000,138,5.9,94.5,21
"Playon",2022-07-17,10,3,6000,240,6.9,92.6,20
"Gratuidad_Universitaria",2022-07-17,7,2,4000,139,3.3,95.5,26
"Justicia_Social",2022-07-17,102,3,6000,109,7.3,99.7,17
"Sede_Vergara",2022-07-17,33,3,6000,139,5.1,103.5,11
"Polideportivo",2022-07-17,18,2,4000,150,3.5,91.2,16
"Escuela_Universitaria_de_Ingles",2022-07-17,57,2,4000,238,4.3,96.7,16
"Marcos_Paz",2022-07-18,29,4,8000,249,9.2,98.5,17
"Rectorado",2022-07-18,10,2,4000,181,4.3,90.7,28
"Gestion_estudiantil",2022-07-18,43,2,4000,203,4,100.9,14
"Auditorio",2022-07-18,16,2,4000,108,4.5,93.2,17
"PIA",2022-07-18,51,5,10000,182,12.4,96.1,18
"Playon",2022-07-18,7,5,10000,231,10,87.7,10
"Gratuidad_Universitaria",2022-07-18,12,4,8000,260,8.5,95.3,24
"Justicia_Social",2022-07-18,52,4,8000,128,7.7,101.6,21
"Sede_Vergara",2022-07-18,16,5,10000,191,8.6,87.1,28
"Polideportivo",2022-07-18,3,2,4000,162,3.3,103.3,26
"Escuela_Universitaria_de_Ingles",2022-07-18,36,4,8000,251,7.4,92.2,23
"Trabajo_Argentino",2022-07-19,16,3,6000,561,4.8,96,30
"Malvinas_Argentinas",2022-07-19,4,2,4000,277,3.2,97.4,10
"Marcos_Paz",2022-07-19,26,2,4000,192,3,97.1,10
"Rectorado",2022-07-19,4,4,8000,234,7.3,91.2,25
"Gestion_estudiantil",2022-07-19,33,3,6000,299,4.9,108.5,28
"Biblioteca",2022-07-19,30,4,8000,234,6.5,99,14
"Laboratorios",2022-07-19,11,2,4000,235,3.6,97.8,14
"Invernaula",2022-07-19,20,5,10000,285,7.9,83.3,12
"Auditorio",2022-07-19,10,3,6000,164,5.2,99.3,12
"PIA",2022-07-19,30,4,8000,283,6.6,99.3,13
"Playon",2022-07-19,19,4,8000,124,6.1,92.3,19
"Justicia_Social",2022-07-19,10,5,10000,280,10,96.4,15
"Sede_Vergara",2022-07-19,24,5,10000,158,8.3,88.2,16
"Polideportivo",2022-07-19,23,4,8000,194,7.5,83.3,14
"Escuela_Universitaria_de_Ingles",2022-07-19,28,4,8000,164,6.1,92.1,20
"Trabajo_Argentino",2022-07-20,45,5,10000,379,9.4,99.8,25
"Malvinas_Argentinas",2022-07-20,4,5,10000,289,11.7,95.7,29
"Marcos_Paz",2022-07-20,16,5,10000,202,9.6,81.3,18
"Rectorado",2022-07-20,13,5,10000,273,8.2,92.5,24
"Gestion_estudiantil",2022-07-20,24,4,8000,290,8.5,103.8,22
"Biblioteca",2022-07-20,36,5,10000,193,12.1,86.9,22
"Laboratorios",2022-07-20,18,3,6000,220,5.2,92.2,26
"Invernaula",2022-07-20,23,4,8000,142,8.1,85.6,18
"Auditorio",2022-07-20,10,4,8000,149,9.8,84.4,19
"PIA",2022-07-20,37,4,8000,283,9.3,96.4,26
"Playon",2022-07-20,23,2,4000,104,3.5,93,28
"Justicia_Social",2022-07-20,12,3,6000,135,6,89.5,22
"Sede_Vergara",2022-07-20,46,3,6000,261,6.8,100.8,24
"Polideportivo",2022-07-20,25,5,10000,196,12.4,88.9,30
"Escuela_Universitaria_de_Ingles",2022-07-20,1,5,10000,267,9,91.5,14
"Trabajo_Argentino",2022-07-21,26,5,10000,589,10.4,79.6,10
"Malvinas_Argentinas",2022-07-21,5,3,6000,281,5.3,94.2,23
"Marcos_Paz",2022-07-21,41,3,6000,196,7.1,85.2,12
"Rectorado",2022-07-21,9,3,6000,274,7.2,89,16
"Gestion_estudiantil",2022-07-21,28,5,10000,110,7.7,93.1,16
"Biblioteca",2022-07-21,32,5,10000,215,9.2,93.1,23
"Laboratorios",2022-07-21,9,3,6000,193,4.6,91.9,30
"Invernaula",2022-07-21,28,2,4000,232,4.9,86.2,29
"Auditorio",2022-07-21,19,3,6000,186,4.7,92.5,26
"PIA",2022-07-21,18,3,6000,193,4.6,90.6,20
"Playon",2022-07-21,15,4,8000,116,7.2,84.7,10
"Gratuidad_Universitaria",2022-07-21,1,2,4000,223,3.3,94.3,19
"Justicia_Social",2022-07-21,15,4,8000,100,7.5,97.1,20
"Sede_Vergara",2022-07-21,37,5,10000,287,12,94.2,25
"Polideportivo",2022-07-21,13,5,10000,263,10.7,93.1,11
"Escuela_Universitaria_de_Ingles",2022-07-21,20,5,10000,235,8.7,92.7,11
"Trabajo_Argentino",2022-07-22,47,5,10000,541,8.6,87.2,17
"Malvinas_Argentinas",2022-07-22,2,2,4000,135,4.5,95.5,28
"Marcos_Paz",2022-07-22,18,4,8000,278,8.6,86.4,11
"Rectorado",2022-07-22,3,3,6000,173,6.3,94.4,25
"Gestion_estudiantil",2022-07-22,23,4,8000,144,8,88.9,14
"Biblioteca",2022-07-22,45,5,10000,200,11.8,85.6,17
"Laboratorios",2022-07-22,16,3,6000,203,7.2,89,25
"Invernaula",2022-07-22,28,2,4000,124,4.7,89.9,10
"Auditorio",2022-07-22,17,3,6000,292,7.5,96,27
"PIA",2022-07-22,19,2,4000,133,4.6,95.6,13
"Playon",2022-07-22,29,4,8000,222,8.6,99.2,24
"Gratuidad_Universitaria",2022-07-22,7,5,10000,152,11.1,90.4,20
"Justicia_Social",2022-07-22,17,5,10000,288,10.6,86.1,19
"Sede_Vergara",2022-07-22,41,2,4000,230,3.4,95.6,18
"Polideportivo",2022-07-22,59,5,10000,147,11,98,20
"Escuela_Universitaria_de_Ingles",2022-07-22,35,4,8000,290,9.1,87.4,16
"Trabajo_Argentino",2022-07-23,24,3,6000,461,5.8,103.2,17
"Malvinas_Argentinas",2022-07-23,3,5,10000,235,12.3,92.1,14
"Marcos_Paz",2022-07-23,39,5,10000,260,12.1,86.6,20
"Rectorado",2022-07-23,9,3,6000,222,6.7,83.8,27
"Gestion_estudiantil",2022-07-23,32,3,6000,257,6.7,92.5,16
"Biblioteca",2022-07-23,14,2,4000,225,3.3,100.1,16
"Laboratorios",2022-07-23,40,2,4000,281,4.9,90.3,30
"Invernaula",2022-07-23,40,4,8000,255,8.2,95.4,18
"Auditorio",2022-07-23,17,5,10000,227,8.6,82.8,28
"PIA",2022-07-23,27,5,10000,150,8.6,82.8,18
"Playon",2022-07-23,40,4,8000,114,6.4,99.2,27
"Gratuidad_Universitaria",2022-07-23,2,3,6000,234,4.9,97.5,20
"Justicia_Social",2022-07-23,61,4,8000,140,9.2,93.5,12
"Sede_Vergara",2022-07-23,30,3,6000,142,7.4,77.3,17
"Polideportivo",2022-07-23,36,2,4000,134,4.2,93.3,23
"Escuela_Universitaria_de_Ingles",2022-07-23,55,5,10000,293,10.4,94.8,28
"Malvinas_Argentinas",2022-07-24,3,4,8000,187,6.3,91.8,11
"Marcos_Paz",2022-07-24,38,2,4000,258,3.3,92.6,13
"Rectorado",2022-07-24,7,2,4000,151,4.8,95.7,28
"Gestion_estudiantil",2022-07-24,23,3,6000,182,6.8,87.5,25
"Auditorio",2022-07-24,21,5,10000,200,9.1,94.7,12
"PIA",2022-07-24,34,2,4000,264,3.3,96,27
"Playon",2022-07-24,16,4,8000,220,9.9,94,13
"Gratuidad_Universitaria",2022-07-24,10,4,8000,214,7.9,91.1,27
"Justicia_Social",2022-07-24,84,5,10000,143,10.7,97,10
"Sede_Vergara",2022-07-24,7,4,8000,237,6.8,97.8,12
"Escuela_Universitaria_de_Ingles",2022-07-24,39,5,10000,297,8.5,79,23
"Trabajo_Argentino",2022-07-25,9,5,10000,542,8.6,91.6,19
"Marcos_Paz",2022-07-25,27,2,4000,263,3.6,90.1,17
"Rectorado",2022-07-25,4,2,4000,209,4.1,93,13
"Gestion_estudiantil",2022-07-25,28,3,6000,215,4.7,96.4,21
"Biblioteca",2022-07-25,29,4,8000,265,7.4,92.5,12
"Laboratorios",2022-07-25,7,4,8000,240,9.8,88.1,14
"Auditorio",2022-07-25,20,4,8000,103,6.5,91.1,11
"PIA",2022-07-25,33,5,10000,180,8.5,86.2,26
"Playon",2022-07-25,4,3,6000,195,7.1,95.4,11
"Justicia_Social",2022-07-25,10,5,10000,177,9.6,85.9,24
"Sede_Vergara",2022-07-25,32,5,10000,263,9.8,96.2,13
"Polideportivo",2022-07-25,32,4,8000,244,7.4,89.1,14
"Escuela_Universitaria_de_Ingles",2022-07-25,27,4,8000,296,6.8,93,20
"Trabajo_Argentino",2022-07-26,23,5,10000,565,10,97.5,17
"Malvinas_Argentinas",2022-07-26,3,5,10000,257,11.8,90.2,10
"Marcos_Paz",2022-07-26,25,4,8000,165,9.2,89.8,29
"Rectorado",2022-07-26,9,2,4000,273,3.7,99.5,28
"Gestion_estudiantil",2022-07-26,19,2,4000,279,3.9,98,20
"Biblioteca",2022-07-26,21,2,4000,221,3.5,94.7,22
"Laboratorios",2022-07-26,11,2,4000,124,3.9,94.4,20
"Invernaula",2022-07-26,18,2,4000,116,4.3,97.5,15
"Auditorio",2022-07-26,25,4,8000,249,8.3,96,22
"PIA",2022-07-26,26,3,6000,147,5.1,100.3,21
"Playon",2022-07-26,9,2,4000,110,3.6,94.3,19
"Justicia_Social",2022-07-26,45,3,6000,286,6,92,21
"Sede_Vergara",2022-07-26,9,5,10000,158,9.3,90.9,10
"Polideportivo",2022-07-26,40,5,10000,176,7.6,86.7,16
"Escuela_Universitaria_de_Ingles",2022-07-26,26,3,6000,202,5.9,94.4,27
"Trabajo_Argentino",2022-07-27,26,4,8000,407,7.4,94.6,27
"Malvinas_Argentinas",2022-07-27,1,3,6000,241,6.9,101.8,29
"Marcos_Paz",2022-07-27,22,5,10000,266,12.4,82.6,20
"Rectorado",2022-07-27,15,2,4000,227,3.1,93.6,12
"Gestion_estudiantil",2022-07-27,10,3,6000,260,6,88.1,28
"Biblioteca",2022-07-27,26,2,4000,172,3.1,88.3,23
"Laboratorios",2022-07-27,10,5,10000,233,9.7,94.7,26
"Invernaula",2022-07-27,18,4,8000,179,8,93.1,19
"Auditorio",2022-07-27,2,3,6000,104,6.5,87.6,12
"PIA",2022-07-27,31,4,8000,106,9.7,91.6,18
"Playon",2022-07-27,28,2,4000,187,3.9,93.5,10
"Gratuidad_Universitaria",2022-07-27,7,4,8000,181,7.1,92.2,16
"Justicia_Social",2022-07-27,10,4,8000,252,6.1,98.9,13
"Sede_Vergara",2022-07-27,66,5,10000,265,10,91.7,17
"Polideportivo",2022-07-27,8,2,4000,238,4.2,97.5,23
"Escuela_Universitaria_de_Ingles",2022-07-27,9,2,4000,224,4.5,96.9,22
"Trabajo_Argentino",2022-07-28,26,4,8000,543,8.6,101.3,30
"Marcos_Paz",2022-07-28,19,2,4000,211,3.6,94.4,27
"Rectorado",2022-07-28,14,5,10000,194,11.8,87.2,11
"Gestion_estudiantil",2022-07-28,21,5,10000,217,8.9,91.6,15
"Biblioteca",2022-07-28,58,2,4000,101,4.6,87.5,22
"Laboratorios",2022-07-28,17,4,8000,233,6.2,95.9,20
"Invernaula",2022-07-28,18,2,4000,184,4.8,95.8,15
"Auditorio",2022-07-28,16,5,10000,265,12.5,84.8,25
"PIA",2022-07-28,27,3,6000,173,7.5,84.3,25
"Playon",2022-07-28,14,4,8000,146,7.4,85.5,10
"Gratuidad_Universitaria",2022-07-28,1,4,8000,149,9.9,91.2,28
"Justicia_Social",2022-07-28,3,5,10000,204,9.5,86.9,16
"Sede_Vergara",2022-07-28,41,2,4000,103,4.3,97.2,22
"Polideportivo",2022-07-28,12,3,6000,183,6,89.6,27
"Escuela_Universitaria_de_Ingles",2022-07-28,30,2,4000,216,4.7,98.6,17
"Trabajo_Argentino",2022-07-29,33,4,8000,397,7.5,92.2,18
"Malvinas_Argentinas",2022-07-29,9,2,4000,264,3.8,97.8,13
"Marcos_Paz",2022-07-29,32,3,6000,225,4.5,107.6,23
"Rectorado",2022-07-29,4,3,6000,219,6,98.4,22
"Gestion_estudiantil",2022-07-29,40,3,6000,227,6.3,98,21
"Biblioteca",2022-07-29,46,4,8000,137,6.8,91.7,30
"Laboratorios",2022-07-29,25,5,10000,147,9.3,103.6,13
"Invernaula",2022-07-29,23,4,8000,159,6.4,90.1,20
"Auditorio",2022-07-29,9,2,4000,169,3.4,96.4,30
"PIA",2022-07-29,35,4,8000,147,7.2,80.9,22
"Playon",2022-07-29,20,4,8000,277,7.4,101.3,17
"Gratuidad_Universitaria",2022-07-29,28,4,8000,164,8.9,88.8,20
"Justicia_Social",2022-07-29,26,5,10000,182,9.3,91.1,19
"Sede_Vergara",2022-07-29,40,5,10000,268,7.7,100.1,19
"Polideportivo",2022-07-29,43,2,4000,251,4.9,102.6,26
"Escuela_Universitaria_de_Ingles",2022-07-29,29,4,8000,119,7.8,100.2,12
"Trabajo_Argentino",2022-07-30,21,5,10000,458,9.3,89.8,16
"Malvinas_Argentinas",2022-07-30,4,2,4000,120,3.7,96.8,20
"Marcos_Paz",2022-07-30,42,2,4000,168,5,87.8,12
"Rectorado",2022-07-30,7,5,10000,202,8.5,85.5,13
"Gestion_estudiantil",2022-07-30,57,5,10000,297,11.2,89.2,22
"Biblioteca",2022-07-30,32,3,6000,216,5.7,89,22
"Laboratorios",2022-07-30,21,3,6000,234,7.2,91.1,27
"Invernaula",2022-07-30,38,4,8000,168,8,91.6,13
"Auditorio",2022-07-30,49,2,4000,150,4.6,94,18
"PIA",2022-07-30,18,4,8000,121,6.5,100.3,16
"Playon",2022-07-30,38,4,8000,172,7.2,101.1,28
"Gratuidad_Universitaria",2022-07-30,32,2,4000,251,3.9,91.6,20
"Justicia_Social",2022-07-30,73,3,6000,231,4.9,89.9,23
"Sede_Vergara",2022-07-30,52,5,10000,176,10.5,82.2,15
"Polideportivo",2022-07-30,8,3,6000,123,6.4,91.7,20
"Escuela_Universitaria_de_Ingles",2022-07-30,38,2,4000,248,3.1,102,22
"Malvinas_Argentinas",2022-07-31,1,2,4000,246,3.4,90.7,14
"Marcos_Paz",2022-07-31,31,2,4000,238,3.3,91.1,12
"Rectorado",2022-07-31,7,5,10000,267,9.4,87.8,29
"Gestion_estudiantil",2022-07-31,21,5,10000,289,11.1,86.3,15
"Biblioteca",2022-07-31,34,5,10000,256,9.1,95.1,23
"Auditorio",2022-07-31,27,2,4000,233,4.2,91.2,25
"PIA",2022-07-31,30,3,6000,122,6.5,94,12
"Playon",2022-07-31,8,4,8000,239,9.7,86,17
"Gratuidad_Universitaria",2022-07-31,10,3,6000,154,5.6,99.9,13
"Justicia_Social",2022-07-31,27,3,6000,192,5.7,93,15
"Sede_Vergara",2022-07-31,13,4,8000,220,8.1,89.2,12
"Polideportivo",2022-07-31,6,2,4000,149,3.2,105.2,17
"Escuela_Universitaria_de_Ingles",2022-07-31,17,4,8000,247,6.6,97.1,27
"Trabajo_Argentino",2022-08-01,13,6,12000,320,12.2,77.4,16
"Marcos_Paz",2022-08-01,17,5,10000,200,7.7,101.9,23
"Rectorado",2022-08-01,9,4,8000,245,6.8,90.4,15
"Gestion_estudiantil",2022-08-01,29,5,10000,155,8.1,96.6,19
"Biblioteca",2022-08-01,34,3,6000,179,6.3,95.3,27
"Laboratorios",2022-08-01,6,2,4000,273,3.7,94.4,26
"Auditorio",2022-08-01,12,2,4000,188,5,97,19
"PIA",2022-08-01,17,2,4000,154,4.2,97.6,21
"Playon",2022-08-01,6,4,8000,228,7.1,94.2,10
"Justicia_Social",2022-08-01,18,4,8000,222,6.7,92.6,12
"Sede_Vergara",2022-08-01,43,3,6000,224,6,88.6,17
"Escuela_Universitaria_de_Ingles",2022-08-01,25,3,6000,264,4.9,98.5,30
"Trabajo_Argentino",2022-08-02,12,5,10000,572,11.2,83.1,19
"Marcos_Paz",2022-08-02,24,2,4000,286,4.2,93.3,16
"Rectorado",2022-08-02,9,5,10000,178,9.8,81.5,12
"Gestion_estudiantil",2022-08-02,40,3,6000,184,6.2,87.5,17
"Biblioteca",2022-08-02,11,2,4000,199,4.1,92.8,29
"Laboratorios",2022-08-02,7,5,10000,282,10,84.6,24
"Invernaula",2022-08-02,13,2,4000,256,4.6,96.7,20
"Auditorio",2022-08-02,11,4,8000,114,7.8,94.9,26
"PIA",2022-08-02,21,5,10000,260,9.2,86.3,29
"Playon",2022-08-02,20,5,10000,175,11.8,83.9,19
"Gratuidad_Universitaria",2022-08-02,3,5,10000,210,11.1,93.1,23
"Justicia_Social",2022-08-02,14,5,10000,263,10.2,89.8,20
"Sede_Vergara",2022-08-02,66,2,4000,292,3.1,94.4,21
"Polideportivo",2022-08-02,27,4,8000,191,8.9,92.8,23
"Escuela_Universitaria_de_Ingles",2022-08-02,24,3,6000,142,6.8,91.2,23
"Trabajo_Argentino",2022-08-03,27,5,10000,357,8.6,88.7,20
"Malvinas_Argentinas",2022-08-03,2,3,6000,200,6.2,92.3,13
"Marcos_Paz",2022-08-03,16,4,8000,209,7.3,89.7,24
"Rectorado",2022-08-03,5,2,4000,250,3.5,100.2,30
"Gestion_estudiantil",2022-08-03,27,5,10000,172,11.5,90.3,19
"Biblioteca",2022-08-03,12,3,6000,127,7.5,90.4,29
"Laboratorios",2022-08-03,14,4,8000,150,8.1,92.8,11
"Invernaula",2022-08-03,18,4,8000,145,9.5,96.3,21
"Auditorio",2022-08-03,22,4,8000,179,8.9,98.2,23
"PIA",2022-08-03,31,4,8000,268,9.3,92.5,25
"Playon",2022-08-03,29,4,8000,278,9.3,83.1,25
"Gratuidad_Universitaria",2022-08-03,17,5,10000,154,8.7,93.3,26
"Justicia_Social",2022-08-03,54,4,8000,293,7,98.4,17
"Sede_Vergara",2022-08-03,29,5,10000,111,9.4,96.3,30
"Polideportivo",2022-08-03,26,3,6000,195,6.6,86.7,24
"Escuela_Universitaria_de_Ingles",2022-08-03,7,4,8000,105,6.1,98.7,25
"Trabajo_Argentino",2022-08-04,24,4,8000,402,7.7,97,10
"Malvinas_Argentinas",2022-08-04,2,5,10000,158,11.9,84.2,28
"Marcos_Paz",2022-08-04,11,2,4000,167,4.1,94.3,17
"Rectorado",2022-08-04,9,5,10000,119,8.1,84.2,30
"Gestion_estudiantil",2022-08-04,29,2,4000,151,3.5,97.1,15
"Biblioteca",2022-08-04,35,3,6000,159,5.3,95.8,20
"Laboratorios",2022-08-04,7,5,10000,209,8.4,92.5,10
"Invernaula",2022-08-04,14,3,6000,144,7.2,89,25
"Auditorio",2022-08-04,8,3,6000,188,4.7,100.8,18
"PIA",2022-08-04,27,2,4000,195,3.6,96.9,10
"Playon",2022-08-04,24,2,4000,276,3.4,96.5,16
"Gratuidad_Universitaria",2022-08-04,3,3,6000,135,6.6,97,26
"Justicia_Social",2022-08-04,17,4,8000,171,7,93.5,23
"Sede_Vergara",2022-08-04,22,2,4000,298,3.9,89.3,30
"Polideportivo",2022-08-04,7,2,4000,204,4.9,98,25
"Escuela_Universitaria_de_Ingles",2022-08-04,24,4,8000,174,8.3,95.8,10
